Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,EmployeeNumber,EmployeeCount,Over18,OverTime,PercentSalaryHike,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,3,35,1,Y,No,14,80,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2,36,1,Y,Yes,16,80,6,2,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,1,38,1,Y,No,12,80,6,3,2,5,3,1,4
500,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,86,,1,Sales Representative,3,Married,1,39,1,Y,Yes,14,80,3,2,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,1,40,1,Y,No,13,80,2,3,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,9,41,1,Y,Yes,14,80,6,3,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,2,42,1,Y,No,19,80,10,3,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1,45,1,Y,No,12,80,1,3,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,1,46,1,Y,No,13,80,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,1,47,1,Y,No,12,80,1,2,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,1,49,1,Y,No,15,80,9,0,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,1,51,1,Y,No,23,80,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,1,52,1,Y,No,12,80,23,0,3,,15,15,8
34,No,Non-Travel,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,0,53,1,Y,No,20,80,10,2,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,4,54,1,Y,No,21,80,8,1,3,1,0,0,0
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,1,55,1,Y,No,19,80,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,9,56,1,Y,Yes,13,80,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,1,57,1,Y,Yes,13,80,2,3,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5,58,1,Y,Yes,21,80,,2,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,2,60,1,Y,Yes,13,80,10,3,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,7,61,1,Y,Yes,19,80,5,2,2,2,2,0,0
35,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,3,62,1,Y,Yes,15,80,4,3,3,2,2,2,2
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,1,63,1,Y,No,18,80,7,2,4,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,1,64,1,Y,Yes,22,80,9,3,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,1,65,1,Y,No,11,80,10,2,3,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,5,68,1,Y,Yes,12,80,29,2,2,27,3,13,8
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7,70,1,Y,No,11,80,28,3,2,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,1,72,1,Y,No,13,80,17,2,3,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,2,73,1,Y,Yes,14,80,21,2,3,5,0,0,2
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,2,74,1,Y,No,17,80,25,2,3,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,4,75,1,Y,No,13,80,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,0,76,1,Y,Yes,17,80,2,0,2,1,0,0,0
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,7,77,1,Y,No,11,80,20,2,2,4,3,1,3
31,No,Travel_Rarely,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,1,78,1,Y,No,17,80,1,4,3,1,1,1,0
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3,79,1,Y,No,12,80,5,3,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,1,80,1,Y,No,23,80,11,2,3,11,7,1,8
35,No,Travel_Rarely,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,0,81,1,Y,No,14,80,16,2,3,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,4,83,1,Y,Yes,14,80,17,3,4,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,4,84,1,Y,No,13,80,16,3,4,5,2,0,2
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,1,85,1,Y,Yes,12,80,10,1,2,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,1,86,1,Y,No,18,80,6,3,3,6,4,0,4
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,3,88,1,Y,No,14,80,24,4,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,7,90,1,Y,Yes,12,80,17,3,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,1,91,1,Y,No,15,80,5,2,3,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,4,94,1,Y,No,11,80,37,3,2,6,4,0,2
23,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,3,95,1,Y,No,13,80,3,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,3,96,1,Y,No,23,80,,4,3,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,1,97,1,Y,No,19,80,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,1,98,1,Y,No,16,80,9,3,,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,1,100,1,Y,No,22,80,22,3,,22,3,11,11
51,No,Travel_Rarely,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,0,101,1,Y,Yes,22,80,11,2,,10,7,1,0
30,No,Travel_Rarely,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,1,102,1,Y,Yes,12,80,11,4,2,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,2,103,1,Y,Yes,13,80,,5,2,10,9,9,5
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,9,104,1,Y,No,12,80,16,5,1,4,3,0,3
24,No,Travel_Rarely,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,0,105,1,Y,No,21,80,4,2,2,3,2,0,2
58,No,Travel_Rarely,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,0,106,1,Y,No,13,80,38,1,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,4,107,1,Y,No,12,80,17,3,4,3,2,1,2
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,1,110,1,Y,No,13,80,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,1,112,1,Y,Yes,18,80,1,5,3,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,1,113,1,Y,No,14,80,,3,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5,116,1,Y,No,14,80,17,2,4,1,0,0,0
59,No,Non-Travel,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,9,117,1,Y,No,21,80,30,3,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,3,118,1,Y,Yes,19,80,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,1,119,1,Y,Yes,11,80,6,1,3,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,1,Medical,,Male,64,2,1,Research Scientist,4,Married,1,120,1,Y,No,11,80,2,2,3,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,3,Medical,,Female,59,3,1,Laboratory Technician,4,Single,1,121,1,Y,No,15,80,1,5,3,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,4,Medical,,Female,30,2,3,Healthcare Representative,1,Single,3,124,1,Y,No,20,80,,1,2,,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,1,125,1,Y,Yes,24,80,9,3,3,9,7,0,6
54,No,Non-Travel,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,2,126,1,Y,Yes,12,80,23,3,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,0,128,1,Y,No,12,80,6,2,3,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,6,129,1,Y,No,15,80,12,3,,1,0,0,0
37,No,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,2,131,1,Y,No,12,80,12,3,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,,3,Medical,3,Female,45,2,3,Manager,1,Single,2,132,1,Y,No,12,80,14,6,3,11,10,5,8
36,No,Travel_Rarely,Research & Development,,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,5,133,1,Y,No,22,80,7,2,3,1,0,0,0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,1,134,1,Y,Yes,12,80,25,3,4,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,1,137,1,Y,No,25,80,10,2,2,10,7,0,9
33,No,Non-Travel,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,0,138,1,Y,No,13,80,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,9,139,1,Y,Yes,18,80,7,2,3,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,7,140,1,Y,No,13,80,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,4,141,1,Y,Yes,18,80,12,3,2,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,1,142,1,Y,No,19,80,,3,2,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,1,143,1,Y,No,12,80,,3,2,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1,144,1,Y,Yes,19,80,0,2,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,0,145,1,Y,No,14,80,3,2,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,1,147,1,Y,No,14,80,16,2,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4,148,1,Y,No,12,80,18,2,3,3,2,1,2
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,3,150,1,Y,Yes,11,80,4,2,3,2,2,2,2
41,No,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,3,151,1,Y,Yes,13,80,12,2,3,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,1,152,1,Y,No,23,80,8,3,3,8,7,5,7
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,2,153,1,Y,No,15,80,18,2,3,4,2,0,3
39,No,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,4,154,1,Y,No,14,80,17,1,4,15,11,5,9
25,No,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,2,155,1,Y,No,18,80,6,3,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,48,3,2,Human Resources,4,Married,0,158,1,Y,Yes,19,80,12,2,1,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,1,Female,41,3,1,Laboratory Technician,1,Single,7,159,1,Y,No,22,80,10,2,,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,3,Medical,3,Male,83,3,1,Research Scientist,4,Single,5,160,1,Y,No,13,80,9,2,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,32,3,2,Research Scientist,3,Single,3,161,1,Y,Yes,20,80,19,2,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,75,3,1,Research Scientist,3,Single,1,162,1,Y,No,14,80,5,4,2,5,4,0,4
32,No,Travel_Frequently,Sales,9,2,Medical,4,Male,35,1,2,Sales Executive,4,Divorced,0,163,1,Y,No,17,80,9,2,4,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,84,3,1,Research Scientist,1,Divorced,5,164,1,Y,No,14,80,8,3,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,1,Medical,2,Male,35,2,1,Laboratory Technician,4,Single,0,165,1,Y,No,13,80,6,3,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,91,2,4,Manager,1,Divorced,4,167,1,Y,No,13,80,21,2,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,94,3,1,Laboratory Technician,1,Married,2,169,1,Y,No,21,80,7,2,3,5,0,1,4
40,No,Travel_Frequently,Research & Development,26,3,Medical,2,Female,54,3,2,Research Scientist,2,Divorced,1,170,1,Y,No,11,80,20,2,,20,7,2,13
35,No,Travel_Rarely,Sales,1,5,Marketing,3,Male,94,3,3,Sales Executive,2,Married,1,171,1,Y,No,13,80,10,3,3,10,8,0,6
45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,60,3,2,Laboratory Technician,2,Divorced,8,174,1,Y,No,18,80,20,2,1,17,9,0,15
32,No,Travel_Frequently,Sales,8,3,Marketing,2,Female,43,3,3,Sales Executive,4,Single,1,175,1,Y,No,14,80,9,2,3,9,8,3,7
29,No,Non-Travel,Research & Development,1,1,Technical Degree,4,Male,41,3,2,Manufacturing Director,3,Married,1,176,1,Y,No,13,80,10,1,3,10,7,0,9
51,No,Travel_Rarely,Research & Development,7,4,Medical,2,Male,34,2,2,Manufacturing Director,3,Married,2,177,1,Y,No,17,80,10,2,3,1,0,0,0
58,No,Travel_Rarely,Research & Development,9,3,Medical,2,Female,75,2,1,Research Scientist,2,Married,4,178,1,Y,Yes,20,80,9,3,2,1,0,0,0
34,No,Travel_Frequently,Sales,2,4,Marketing,3,Female,75,3,1,Sales Representative,3,Married,6,179,1,Y,No,18,80,6,3,3,4,3,1,2
22,No,Travel_Rarely,Research & Development,19,1,Medical,3,Male,80,3,1,Research Scientist,4,Married,1,182,1,Y,No,24,80,2,6,3,2,2,2,2
27,No,Non-Travel,Research & Development,9,3,Medical,4,Male,57,3,1,Research Scientist,2,Divorced,6,183,1,Y,No,18,80,6,1,1,2,2,2,2
28,No,Travel_Rarely,Research & Development,21,3,Medical,3,Male,42,3,1,Research Scientist,4,Married,1,184,1,Y,No,11,80,5,2,1,5,2,0,2
27,No,Non-Travel,Research & Development,3,3,Medical,3,Male,79,2,1,Research Scientist,3,Divorced,1,190,1,Y,Yes,15,80,1,2,2,1,1,0,1
50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,3,Female,53,3,5,Manager,2,Single,3,192,1,Y,No,15,80,21,5,3,5,4,4,4
41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,56,3,1,Research Scientist,3,Divorced,4,193,1,Y,No,12,80,13,2,3,9,8,1,8
30,No,Travel_Rarely,Sales,5,3,Life Sciences,2,Female,41,3,3,Sales Executive,4,Married,2,194,1,Y,No,12,80,12,2,3,10,9,7,4
38,No,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,59,2,2,Sales Executive,4,Single,4,195,1,Y,No,22,80,12,2,4,8,3,0,7
32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,3,Male,43,3,1,Research Scientist,3,Single,3,197,1,Y,No,20,80,8,2,3,5,4,1,4
27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Male,51,3,1,Research Scientist,2,Married,0,198,1,Y,Yes,16,80,6,3,2,5,2,1,1
19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,100,1,1,Sales Representative,1,Single,0,199,1,Y,No,21,80,1,5,4,0,0,0,0
36,No,Travel_Frequently,Research & Development,3,2,Medical,4,Male,30,3,1,Laboratory Technician,2,Single,4,200,1,Y,No,12,80,13,3,2,8,7,7,2
30,No,Non-Travel,Research & Development,9,3,Medical,3,Male,66,3,2,Laboratory Technician,1,Divorced,1,201,1,Y,No,11,80,12,4,3,12,9,6,10
45,No,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,30,3,2,Sales Executive,1,Divorced,4,202,1,Y,Yes,11,80,9,3,4,5,4,0,3
56,No,Travel_Rarely,Research & Development,8,3,Life Sciences,3,Female,67,3,1,Research Scientist,1,Divorced,4,204,1,Y,Yes,18,80,19,3,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,90,3,1,Research Scientist,4,Single,0,205,1,Y,No,14,80,4,2,4,3,1,0,2
19,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,47,2,1,Laboratory Technician,4,Single,1,206,1,Y,No,22,80,1,3,2,1,0,1,0
46,No,Travel_Rarely,Sales,1,2,Marketing,2,Female,92,3,3,Sales Executive,1,Divorced,1,207,1,Y,No,25,80,24,2,3,24,13,15,7
38,No,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,1,208,1,Y,No,12,80,2,3,3,2,2,2,1
31,No,Travel_Rarely,Research & Development,12,1,Medical,3,Female,95,3,1,Research Scientist,4,Married,8,211,1,Y,Yes,23,80,7,0,3,4,2,0,2
34,No,Travel_Rarely,Research & Development,27,2,Medical,4,Female,95,3,1,Research Scientist,2,Single,2,214,1,Y,No,15,80,9,3,3,3,2,1,2
41,Yes,Travel_Rarely,Sales,20,2,Marketing,2,Female,70,3,1,Sales Representative,2,Single,1,215,1,Y,Yes,22,80,4,5,2,4,3,0,2
50,No,Travel_Rarely,Research & Development,1,3,Medical,3,Male,86,2,1,Laboratory Technician,3,Married,2,216,1,Y,No,15,80,5,2,2,3,2,0,2
53,No,Travel_Rarely,Research & Development,13,2,Medical,4,Female,57,4,2,Manufacturing Director,1,Divorced,1,217,1,Y,No,11,80,5,3,3,4,2,1,3
34,No,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,45,2,2,Manufacturing Director,3,Married,1,218,1,Y,No,17,80,10,2,2,10,9,1,9
51,No,Travel_Rarely,Research & Development,3,3,Medical,4,Female,98,3,4,Healthcare Representative,2,Single,3,221,1,Y,No,18,80,21,6,3,7,7,1,0
52,No,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Male,65,2,5,Manager,3,Married,0,223,1,Y,No,14,80,34,5,3,33,18,11,9
27,No,Travel_Rarely,Research & Development,9,3,Medical,4,Female,99,3,1,Research Scientist,2,Single,1,224,1,Y,No,16,80,7,2,2,7,7,0,3
35,Yes,Travel_Rarely,Research & Development,23,2,Life Sciences,2,Male,50,2,2,Manufacturing Director,3,Married,3,226,1,Y,Yes,13,80,8,1,3,1,0,0,1
